No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed
227,Skarmory,Skarmory,2,1.7m,50.5kg,Steel,Flying,Keen Eye,Sturdy,Weak Armor,Gray,50,50,0,25,Flying,,25,163,1250000,Ordinary,,,65,80,140,40,70,70,465,0,0,2,0,0,0
228,Houndour,Houndour,2,0.6m,10.8kg,Dark,Fire,Early Bird,Flash Fire,Unnerve,Black,50,50,0,20,Ground,,120,66,1250000,Ordinary,,,45,60,30,80,50,65,330,0,0,0,1,0,0
229,Houndoom,Houndoom,2,1.4m,35.0kg,Dark,Fire,Early Bird,Flash Fire,Unnerve,Black,50,50,0,20,Ground,,45,175,1250000,Ordinary,,,75,90,50,110,80,95,500,0,0,0,2,0,0
229,Houndoom,Mega Houndoom,2,1.9m,49.5kg,Dark,Fire,Solar Power,,,Black,50,50,0,20,Ground,,45,210,1250000,Ordinary,Mega,,75,90,90,140,90,115,600,0,0,0,2,0,0
230,Kingdra,Kingdra,2,1.8m,152.0kg,Water,Dragon,Swift Swim,Sniper,Damp,Blue,50,50,0,20,Water1,Dragon,45,270,1000000,Ordinary,,,75,95,95,95,95,85,540,0,1,0,1,1,0
231,Phanpy,Phanpy,2,0.5m,33.5kg,Ground,,Pickup,,Sand Veil,Blue,50,50,0,20,Ground,,120,66,1000000,Ordinary,,,90,60,60,40,40,40,330,1,0,0,0,0,0
232,Donphan,Donphan,2,1.1m,120.0kg,Ground,,Sturdy,,Sand Veil,Gray,50,50,0,20,Ground,,60,175,1000000,Ordinary,,,90,120,120,60,60,50,500,0,1,1,0,0,0
233,Porygon2,Porygon2,2,0.6m,32.5kg,Normal,,Trace,Download,Analytic,Red,0,0,100,20,Mineral,,45,180,1000000,Ordinary,,,85,80,90,105,95,60,515,0,0,0,2,0,0
234,Stantler,Stantler,2,1.4m,71.2kg,Normal,,Intimidate,Frisk,Sap Sipper,Brown,50,50,0,20,Ground,,45,163,1250000,Ordinary,,,73,95,62,85,65,85,465,0,1,0,0,0,0
235,Smeargle,Smeargle,2,1.2m,58.0kg,Normal,,Own Tempo,Technician,Moody,White,50,50,0,20,Ground,,45,88,800000,Ordinary,,,55,20,35,20,45,75,250,0,0,0,0,0,1
236,Tyrogue,Tyrogue,2,0.7m,21.0kg,Fighting,,Guts,Steadfast,Vital Spirit,Purple,100,0,0,25,Undiscovered,,75,42,1000000,Ordinary,,,35,35,35,35,35,35,210,0,1,0,0,0,0
237,Hitmontop,Hitmontop,2,1.4m,48.0kg,Fighting,,Intimidate,Technician,Steadfast,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,,,50,95,95,35,110,70,455,0,0,0,0,2,0
238,Smoochum,Smoochum,2,0.4m,6.0kg,Ice,Psychic,Oblivious,Forewarn,Hydration,Pink,0,100,0,25,Undiscovered,,45,61,1000000,Ordinary,,,45,30,15,85,65,65,305,0,0,0,1,0,0
239,Elekid,Elekid,2,0.6m,23.5kg,Electric,,Static,,Vital Spirit,Yellow,75,25,0,25,Undiscovered,,45,72,1000000,Ordinary,,,45,63,37,65,55,95,360,0,0,0,0,0,1
240,Magby,Magby,2,0.7m,21.4kg,Fire,,Flame Body,,Vital Spirit,Red,75,25,0,25,Undiscovered,,45,73,1000000,Ordinary,,,45,75,37,70,55,83,365,0,0,0,0,0,1
241,Miltank,Miltank,2,1.2m,75.5kg,Normal,,Thick Fat,Scrappy,Sap Sipper,Pink,0,100,0,20,Ground,,45,172,1250000,Ordinary,,,95,80,105,40,70,100,490,0,0,2,0,0,0
242,Blissey,Blissey,2,1.5m,46.8kg,Normal,,Natural Cure,Serene Grace,Healer,Pink,0,100,0,40,Fairy,,30,635,800000,Ordinary,,,255,10,10,75,135,55,540,3,0,0,0,0,0
243,Raikou,Raikou,2,1.9m,178.0kg,Electric,,Pressure,,Inner Focus,Yellow,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,,,90,85,75,115,100,115,580,0,0,0,1,0,2
244,Entei,Entei,2,2.1m,198.0kg,Fire,,Pressure,,Inner Focus,Brown,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,,,115,115,85,90,75,100,580,1,2,0,0,0,0
245,Suicune,Suicune,2,2.0m,187.0kg,Water,,Pressure,,Inner Focus,Blue,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,,,100,75,115,90,115,85,580,0,0,1,0,2,0
246,Larvitar,Larvitar,2,0.6m,72.0kg,Rock,Ground,Guts,,Sand Veil,Green,50,50,0,40,Monster,,45,60,1250000,Ordinary,,,50,64,50,45,50,41,300,0,1,0,0,0,0
247,Pupitar,Pupitar,2,1.2m,152.0kg,Rock,Ground,Shed Skin,,,Gray,50,50,0,40,Monster,,45,144,1250000,Ordinary,,,70,84,70,65,70,51,410,0,2,0,0,0,0
248,Tyranitar,Tyranitar,2,2.0m,202.0kg,Rock,Dark,Sand Stream,,Unnerve,Green,50,50,0,40,Monster,,45,300,1250000,Ordinary,,,100,134,110,95,100,61,600,0,3,0,0,0,0
248,Tyranitar,Mega Tyranitar,2,2.5m,255.0kg,Rock,Dark,Sand Stream,,,Green,50,50,0,40,Monster,,45,315,1250000,Ordinary,Mega,,100,164,150,95,120,71,700,0,3,0,0,0,0
249,Lugia,Lugia,2,5.2m,216.0kg,Psychic,Flying,Pressure,,Multiscale,White,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,,,106,90,130,90,154,110,680,0,0,0,0,3,0
250,Ho-Oh,Ho-Oh,2,3.8m,199.0kg,Fire,Flying,Pressure,,Regenerator,Red,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,,,106,130,90,110,154,90,680,0,0,0,0,3,0
251,Celebi,Celebi,2,0.6m,5.0kg,Psychic,Grass,Natural Cure,,,Green,0,0,100,120,Undiscovered,,45,300,1059860,Mythical,,,100,100,100,100,100,100,600,3,0,0,0,0,0
252,Treecko,Treecko,3,0.5m,5.0kg,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,,,40,45,35,65,55,70,310,0,0,0,0,0,1
253,Grovyle,Grovyle,3,0.9m,21.6kg,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,,,50,65,45,85,65,95,405,0,0,0,0,0,2
254,Sceptile,Sceptile,3,1.7m,52.2kg,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,265,1059860,Ordinary,,,70,85,65,105,85,120,530,0,0,0,0,0,3
254,Sceptile,Mega Sceptile,3,1.9m,55.2kg,Grass,Dragon,Lightning Rod,,,Green,87.5,12.5,0,20,Monster,Dragon,45,284,1059860,Ordinary,Mega,,70,110,75,145,85,145,630,0,0,0,0,0,3
255,Torchic,Torchic,3,0.4m,2.5kg,Fire,,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,,,45,60,40,70,50,45,310,0,0,0,1,0,0
256,Combusken,Combusken,3,0.9m,19.5kg,Fire,Fighting,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,142,1059860,Ordinary,,,60,85,60,85,60,55,405,0,1,0,1,0,0
257,Blaziken,Blaziken,3,1.9m,52.0kg,Fire,Fighting,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,265,1059860,Ordinary,,,80,120,70,110,70,80,530,0,3,0,0,0,0
257,Blaziken,Mega Blaziken,3,1.9m,52.0kg,Fire,Fighting,Speed Boost,,,Red,87.5,12.5,0,20,Ground,,45,284,1059860,Ordinary,Mega,,80,160,80,130,80,100,630,0,3,0,0,0,0
258,Mudkip,Mudkip,3,0.4m,7.6kg,Water,,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,62,1059860,Ordinary,,,50,70,50,50,50,40,310,0,1,0,0,0,0
259,Marshtomp,Marshtomp,3,0.7m,28.0kg,Water,Ground,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,,,70,85,70,60,70,50,405,0,2,0,0,0,0
260,Swampert,Swampert,3,1.5m,81.9kg,Water,Ground,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,268,1059860,Ordinary,,,100,110,90,85,90,60,535,0,3,0,0,0,0
260,Swampert,Mega Swampert,3,1.9m,102.0kg,Water,Ground,Swift Swim,,,Blue,87.5,12.5,0,20,Monster,Water1,45,286,1059860,Ordinary,Mega,,100,150,110,95,110,70,635,0,3,0,0,0,0
261,Poochyena,Poochyena,3,0.5m,13.6kg,Dark,,Run Away,Quick Feet,Rattled,Gray,50,50,0,15,Ground,,255,56,1000000,Ordinary,,,35,55,35,30,30,35,220,0,1,0,0,0,0
262,Mightyena,Mightyena,3,1.0m,37.0kg,Dark,,Intimidate,Quick Feet,Moxie,Gray,50,50,0,15,Ground,,127,147,1000000,Ordinary,,,70,90,70,60,60,70,420,0,2,0,0,0,0
263,Zigzagoon,Zigzagoon,3,0.4m,17.5kg,Normal,,Pickup,Gluttony,Quick Feet,Brown,50,50,0,15,Ground,,255,56,1000000,Ordinary,,,38,30,41,30,41,60,240,0,0,0,0,0,1
263,Zigzagoon,Galarian Zigzagoon,3,0.4m,17.5kg,Dark,Normal,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,255,56,1000000,Ordinary,,Galarian,38,30,41,30,41,60,240,0,0,0,0,0,1
264,Linoone,Linoone,3,0.5m,32.5kg,Normal,,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,90,147,1000000,Ordinary,,,78,70,61,50,61,100,420,0,0,0,0,0,2
264,Linoone,Galarian Linoone,3,0.5m,32.5kg,Dark,Normal,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,90,147,1000000,Ordinary,,Galarian,78,70,61,50,61,100,420,0,0,0,0,0,2
265,Wurmple,Wurmple,3,0.3m,3.6kg,Bug,,Shield Dust,,Run Away,Red,50,50,0,15,Bug,,255,56,1000000,Ordinary,,,45,45,35,20,30,20,195,1,0,0,0,0,0
266,Silcoon,Silcoon,3,0.6m,10.0kg,Bug,,Shed Skin,,,White,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,50,35,55,25,25,15,205,0,0,2,0,0,0
267,Beautifly,Beautifly,3,1.0m,28.4kg,Bug,Flying,Swarm,,Rivalry,Yellow,50,50,0,15,Bug,,45,178,1000000,Ordinary,,,60,70,50,100,50,65,395,0,0,0,3,0,0
268,Cascoon,Cascoon,3,0.7m,11.5kg,Bug,,Shed Skin,,,Purple,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,50,35,55,25,25,15,205,0,0,2,0,0,0
269,Dustox,Dustox,3,1.2m,31.6kg,Bug,Poison,Shield Dust,,Compound Eyes,Green,50,50,0,15,Bug,,45,173,1000000,Ordinary,,,60,50,70,50,90,65,385,0,0,0,0,3,0
270,Lotad,Lotad,3,0.5m,2.6kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,255,44,1059860,Ordinary,,,40,30,30,40,50,30,220,0,0,0,0,1,0
271,Lombre,Lombre,3,1.2m,32.5kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,120,119,1059860,Ordinary,,,60,50,50,60,70,50,340,0,0,0,0,2,0
272,Ludicolo,Ludicolo,3,1.5m,55.0kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,45,240,1059860,Ordinary,,,80,70,70,90,100,70,480,0,0,0,0,3,0
273,Seedot,Seedot,3,0.5m,4.0kg,Grass,,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,255,44,1059860,Ordinary,,,40,40,50,30,30,30,220,0,0,1,0,0,0
274,Nuzleaf,Nuzleaf,3,1.0m,28.0kg,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,120,119,1059860,Ordinary,,,70,70,40,60,40,60,340,0,2,0,0,0,0
275,Shiftry,Shiftry,3,1.3m,59.6kg,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,45,240,1059860,Ordinary,,,90,100,60,90,60,80,480,0,3,0,0,0,0
276,Taillow,Taillow,3,0.3m,2.3kg,Normal,Flying,Guts,,Scrappy,Blue,50,50,0,15,Flying,,200,54,1059860,Ordinary,,,40,55,30,30,30,85,270,0,0,0,0,0,1
277,Swellow,Swellow,3,0.7m,19.8kg,Normal,Flying,Guts,,Scrappy,Blue,50,50,0,15,Flying,,45,159,1059860,Ordinary,,,60,85,60,75,50,125,455,0,0,0,0,0,2
278,Wingull,Wingull,3,0.6m,9.5kg,Water,Flying,Keen Eye,Hydration,Rain Dish,White,50,50,0,20,Water1,Flying,190,54,1000000,Ordinary,,,40,30,30,55,30,85,270,0,0,0,0,0,1
279,Pelipper,Pelipper,3,1.2m,28.0kg,Water,Flying,Keen Eye,Drizzle,Rain Dish,Yellow,50,50,0,20,Water1,Flying,45,154,1000000,Ordinary,,,60,50,100,95,70,65,440,0,0,2,0,0,0
280,Ralts,Ralts,3,0.4m,6.6kg,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,235,40,1250000,Ordinary,,,28,25,25,45,35,40,198,0,0,0,1,0,0
281,Kirlia,Kirlia,3,0.8m,20.2kg,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,120,97,1250000,Ordinary,,,38,35,35,65,55,50,278,0,0,0,2,0,0
282,Gardevoir,Gardevoir,3,1.6m,48.4kg,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,45,259,1250000,Ordinary,,,68,65,65,125,115,80,518,0,0,0,3,0,0
282,Gardevoir,Mega Gardevoir,3,1.6m,48.4kg,Psychic,Fairy,Pixilate,,,White,50,50,0,20,Amorphous,,45,278,1250000,Ordinary,Mega,,68,85,65,165,135,100,618,0,0,0,3,0,0
283,Surskit,Surskit,3,0.5m,1.7kg,Bug,Water,Swift Swim,,Rain Dish,Blue,50,50,0,15,Water1,Bug,200,54,1000000,Ordinary,,,40,30,32,50,52,65,269,0,0,0,0,0,1
284,Masquerain,Masquerain,3,0.8m,3.6kg,Bug,Flying,Intimidate,,Unnerve,Blue,50,50,0,15,Water1,Bug,75,159,1000000,Ordinary,,,70,60,62,100,82,80,454,0,0,0,1,1,0
285,Shroomish,Shroomish,3,0.4m,4.5kg,Grass,,Effect Spore,Poison Heal,Quick Feet,Brown,50,50,0,15,Fairy,Grass,255,59,1640000,Ordinary,,,60,40,60,40,60,35,295,1,0,0,0,0,0
286,Breloom,Breloom,3,1.2m,39.2kg,Grass,Fighting,Effect Spore,Poison Heal,Technician,Green,50,50,0,15,Fairy,Grass,90,161,1640000,Ordinary,,,60,130,80,60,60,70,460,0,2,0,0,0,0
287,Slakoth,Slakoth,3,0.8m,24.0kg,Normal,,Truant,,,Brown,50,50,0,15,Ground,,255,56,1250000,Ordinary,,,60,60,60,35,35,30,280,1,0,0,0,0,0
288,Vigoroth,Vigoroth,3,1.4m,46.5kg,Normal,,Vital Spirit,,,White,50,50,0,15,Ground,,120,154,1250000,Ordinary,,,80,80,80,55,55,90,440,0,0,0,0,0,2
289,Slaking,Slaking,3,2.0m,130.5kg,Normal,,Truant,,,Brown,50,50,0,15,Ground,,45,285,1250000,Ordinary,,,150,160,100,95,65,100,670,3,0,0,0,0,0
290,Nincada,Nincada,3,0.5m,5.5kg,Bug,Ground,Compound Eyes,,Run Away,Gray,50,50,0,15,Bug,,255,53,600000,Ordinary,,,31,45,90,30,30,40,266,0,0,1,0,0,0
291,Ninjask,Ninjask,3,0.8m,12.0kg,Bug,Flying,Speed Boost,,Infiltrator,Yellow,50,50,0,15,Bug,,120,160,600000,Ordinary,,,61,90,45,50,50,160,456,0,0,0,0,0,2
292,Shedinja,Shedinja,3,0.8m,1.2kg,Bug,Ghost,Wonder Guard,,,Brown,0,0,100,15,Mineral,,45,83,600000,Ordinary,,,1,90,45,30,30,40,236,2,0,0,0,0,0
293,Whismur,Whismur,3,0.6m,16.3kg,Normal,,Soundproof,,Rattled,Pink,50,50,0,20,Monster,Ground,190,48,1059860,Ordinary,,,64,51,23,51,23,28,240,1,0,0,0,0,0
294,Loudred,Loudred,3,1.0m,40.5kg,Normal,,Soundproof,,Scrappy,Blue,50,50,0,20,Monster,Ground,120,126,1059860,Ordinary,,,84,71,43,71,43,48,360,2,0,0,0,0,0
295,Exploud,Exploud,3,1.5m,84.0kg,Normal,,Soundproof,,Scrappy,Blue,50,50,0,20,Monster,Ground,45,245,1059860,Ordinary,,,104,91,63,91,73,68,490,3,0,0,0,0,0
296,Makuhita,Makuhita,3,1.0m,86.4kg,Fighting,,Thick Fat,Guts,Sheer Force,Yellow,75,25,0,20,Human-Like,,180,47,1640000,Ordinary,,,72,60,30,20,30,25,237,1,0,0,0,0,0
297,Hariyama,Hariyama,3,2.3m,253.8kg,Fighting,,Thick Fat,Guts,Sheer Force,Brown,75,25,0,20,Human-Like,,200,166,1640000,Ordinary,,,144,120,60,40,60,50,474,2,0,0,0,0,0
298,Azurill,Azurill,3,0.2m,2.0kg,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Blue,25,75,0,10,Undiscovered,,150,38,800000,Ordinary,,,50,20,40,20,40,20,190,1,0,0,0,0,0
299,Nosepass,Nosepass,3,1.0m,97.0kg,Rock,,Sturdy,Magnet Pull,Sand Force,Gray,50,50,0,20,Mineral,,255,75,1000000,Ordinary,,,30,45,135,45,90,30,375,0,0,1,0,0,0
300,Skitty,Skitty,3,0.6m,11.0kg,Normal,,Cute Charm,Normalize,Wonder Skin,Pink,25,75,0,15,Ground,Fairy,255,52,800000,Ordinary,,,50,45,45,35,35,50,260,0,0,0,0,0,1
301,Delcatty,Delcatty,3,1.1m,32.6kg,Normal,,Cute Charm,Normalize,Wonder Skin,Purple,25,75,0,15,Ground,Fairy,60,140,800000,Ordinary,,,70,65,65,55,55,90,400,1,0,0,0,0,1
302,Sableye,Sableye,3,0.5m,11.0kg,Dark,Ghost,Keen Eye,Stall,Prankster,Purple,50,50,0,25,Human-Like,,45,133,1059860,Ordinary,,,50,75,75,65,65,50,380,0,1,1,0,0,0
302,Sableye,Mega Sableye,3,0.5m,161.0kg,Dark,Ghost,Magic Bounce,,,Purple,50,50,0,25,Human-Like,,45,168,1059860,Ordinary,Mega,,50,85,125,85,115,20,480,0,1,1,0,0,0
303,Mawile,Mawile,3,0.6m,11.5kg,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Black,50,50,0,20,Ground,Fairy,45,133,800000,Ordinary,,,50,85,85,55,55,50,380,0,1,1,0,0,0
303,Mawile,Mega Mawile,3,1.0m,23.5kg,Steel,Fairy,Huge Power,,,Black,50,50,0,20,Ground,Fairy,45,168,800000,Ordinary,Mega,,50,105,125,55,95,50,480,0,1,1,0,0,0
304,Aron,Aron,3,0.4m,60.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray,50,50,0,35,Monster,,180,66,1250000,Ordinary,,,50,70,100,40,40,30,330,0,0,1,0,0,0
305,Lairon,Lairon,3,0.9m,120.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray,50,50,0,35,Monster,,90,151,1250000,Ordinary,,,60,90,140,50,50,40,430,0,0,2,0,0,0
306,Aggron,Aggron,3,2.1m,360.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Gray,50,50,0,35,Monster,,45,265,1250000,Ordinary,,,70,110,180,60,60,50,530,0,0,3,0,0,0
306,Aggron,Mega Aggron,3,2.2m,395.0kg,Steel,,Filter,,,Gray,50,50,0,35,Monster,,45,284,1250000,Ordinary,Mega,,70,140,230,60,80,50,630,0,0,3,0,0,0
307,Meditite,Meditite,3,0.6m,11.2kg,Fighting,Psychic,Pure Power,,Telepathy,Blue,50,50,0,20,Human-Like,,180,56,1000000,Ordinary,,,30,40,55,40,55,60,280,0,0,0,0,0,1
308,Medicham,Medicham,3,1.3m,31.5kg,Fighting,Psychic,Pure Power,,Telepathy,Red,50,50,0,20,Human-Like,,90,144,1000000,Ordinary,,,60,60,75,60,75,80,410,0,0,0,0,0,2
308,Medicham,Mega Medicham,3,1.3m,31.5kg,Fighting,Psychic,Pure Power,,,Red,50,50,0,20,Human-Like,,90,179,1000000,Ordinary,Mega,,60,100,85,80,85,100,510,0,0,0,0,0,2
309,Electrike,Electrike,3,0.6m,15.2kg,Electric,,Static,Lightning Rod,Minus,Green,50,50,0,20,Ground,,120,59,1250000,Ordinary,,,40,45,40,65,40,65,295,0,0,0,0,0,1
310,Manectric,Manectric,3,1.5m,40.2kg,Electric,,Static,Lightning Rod,Minus,Yellow,50,50,0,20,Ground,,45,166,1250000,Ordinary,,,70,75,60,105,60,105,475,0,0,0,0,0,2
310,Manectric,Mega Manectric,3,1.8m,44.0kg,Electric,,Intimidate,,,Yellow,50,50,0,20,Ground,,45,201,1250000,Ordinary,Mega,,70,75,80,135,80,135,575,0,0,0,0,0,2
311,Plusle,Plusle,3,0.4m,4.2kg,Electric,,Plus,,Lightning Rod,Yellow,50,50,0,20,Fairy,,200,142,1000000,Ordinary,,,60,50,40,85,75,95,405,0,0,0,0,0,1
312,Minun,Minun,3,0.4m,4.2kg,Electric,,Minus,,Volt Absorb,Yellow,50,50,0,20,Fairy,,200,142,1000000,Ordinary,,,60,40,50,75,85,95,405,0,0,0,0,0,1
313,Volbeat,Volbeat,3,0.7m,17.7kg,Bug,,Illuminate,Swarm,Prankster,Gray,100,0,0,15,Bug,Human-Like,150,151,600000,Ordinary,,,65,73,75,47,85,85,430,0,0,0,0,0,1
314,Illumise,Illumise,3,0.6m,17.7kg,Bug,,Oblivious,Tinted Lens,Prankster,Purple,0,100,0,15,Bug,Human-Like,150,151,1640000,Ordinary,,,65,47,75,73,85,85,430,0,0,0,0,0,1
315,Roselia,Roselia,3,0.3m,2.0kg,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Green,50,50,0,20,Fairy,Grass,150,140,1059860,Ordinary,,,50,60,45,100,80,65,400,0,0,0,2,0,0
316,Gulpin,Gulpin,3,0.4m,10.3kg,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Green,50,50,0,20,Amorphous,,225,60,1640000,Ordinary,,,70,43,53,43,53,40,302,1,0,0,0,0,0
317,Swalot,Swalot,3,1.7m,80.0kg,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Purple,50,50,0,20,Amorphous,,75,163,1640000,Ordinary,,,100,73,83,73,83,55,467,2,0,0,0,0,0
318,Carvanha,Carvanha,3,0.8m,20.8kg,Water,Dark,Rough Skin,,Speed Boost,Red,50,50,0,20,Water2,,225,61,1250000,Ordinary,,,45,90,20,65,20,65,305,0,1,0,0,0,0
319,Sharpedo,Sharpedo,3,1.8m,88.8kg,Water,Dark,Rough Skin,,Speed Boost,Blue,50,50,0,20,Water2,,60,161,1250000,Ordinary,,,70,120,40,95,40,95,460,0,2,0,0,0,0
319,Sharpedo,Mega Sharpedo,3,2.5m,130.3kg,Water,Dark,Strong Jaw,,,Blue,50,50,0,20,Water2,,60,196,1250000,Ordinary,Mega,,70,140,70,110,65,105,560,0,2,0,0,0,0
320,Wailmer,Wailmer,3,2.0m,130.0kg,Water,,Water Veil,Oblivious,Pressure,Blue,50,50,0,40,Ground,Water2,125,80,1640000,Ordinary,,,130,70,35,70,35,60,400,1,0,0,0,0,0
321,Wailord,Wailord,3,14.5m,398.0kg,Water,,Water Veil,Oblivious,Pressure,Blue,50,50,0,40,Ground,Water2,60,175,1640000,Ordinary,,,170,90,45,90,45,60,500,2,0,0,0,0,0
322,Numel,Numel,3,0.7m,24.0kg,Fire,Ground,Oblivious,Simple,Own Tempo,Yellow,50,50,0,20,Ground,,255,61,1000000,Ordinary,,,60,60,40,65,45,35,305,0,0,0,1,0,0
323,Camerupt,Camerupt,3,1.9m,220.0kg,Fire,Ground,Magma Armor,Solid Rock,Anger Point,Red,50,50,0,20,Ground,,150,161,1000000,Ordinary,,,70,100,70,105,75,40,460,0,1,0,1,0,0
323,Camerupt,Mega Camerupt,3,2.5m,320.5kg,Fire,Ground,Sheer Force,,,Red,50,50,0,20,Ground,,150,196,1000000,Ordinary,Mega,,70,120,100,145,105,20,560,0,1,0,1,0,0
324,Torkoal,Torkoal,3,0.5m,80.4kg,Fire,,White Smoke,Drought,Shell Armor,Brown,50,50,0,20,Ground,,90,165,1000000,Ordinary,,,70,85,140,85,70,20,470,0,0,2,0,0,0
325,Spoink,Spoink,3,0.7m,30.6kg,Psychic,,Thick Fat,Own Tempo,Gluttony,Black,50,50,0,20,Ground,,255,66,800000,Ordinary,,,60,25,35,70,80,60,330,0,0,0,0,1,0
326,Grumpig,Grumpig,3,0.9m,71.5kg,Psychic,,Thick Fat,Own Tempo,Gluttony,Purple,50,50,0,20,Ground,,60,165,800000,Ordinary,,,80,45,65,90,110,80,470,0,0,0,0,2,0
327,Spinda,Spinda,3,1.1m,5.0kg,Normal,,Own Tempo,Tangled Feet,Contrary,Brown,50,50,0,15,Ground,Human-Like,255,126,800000,Ordinary,,,60,60,60,60,60,60,360,0,0,0,1,0,0
328,Trapinch,Trapinch,3,0.7m,15.0kg,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Brown,50,50,0,20,Bug,Dragon,255,58,1059860,Ordinary,,,45,100,45,45,45,10,290,0,1,0,0,0,0
329,Vibrava,Vibrava,3,1.1m,15.3kg,Ground,Dragon,Levitate,,,Green,50,50,0,20,Bug,Dragon,120,119,1059860,Ordinary,,,50,70,50,50,50,70,340,0,1,0,0,0,1
330,Flygon,Flygon,3,2.0m,82.0kg,Ground,Dragon,Levitate,,,Green,50,50,0,20,Bug,Dragon,45,260,1059860,Ordinary,,,80,100,80,80,80,100,520,0,1,0,0,0,2
331,Cacnea,Cacnea,3,0.4m,51.3kg,Grass,,Sand Veil,,Water Absorb,Green,50,50,0,20,Grass,Human-Like,190,67,1059860,Ordinary,,,50,85,40,85,40,35,335,0,0,0,1,0,0
332,Cacturne,Cacturne,3,1.3m,77.4kg,Grass,Dark,Sand Veil,,Water Absorb,Green,50,50,0,20,Grass,Human-Like,60,166,1059860,Ordinary,,,70,115,60,115,60,55,475,0,1,0,1,0,0
333,Swablu,Swablu,3,0.4m,1.2kg,Normal,Flying,Natural Cure,,Cloud Nine,Blue,50,50,0,20,Flying,Dragon,255,62,600000,Ordinary,,,45,40,60,40,75,50,310,0,0,0,0,1,0
334,Altaria,Altaria,3,1.1m,20.6kg,Dragon,Flying,Natural Cure,,Cloud Nine,Blue,50,50,0,20,Flying,Dragon,45,172,600000,Ordinary,,,75,70,90,70,105,80,490,0,0,0,0,2,0
334,Altaria,Mega Altaria,3,1.5m,20.6kg,Dragon,Fairy,Pixilate,,,Blue,50,50,0,20,Flying,Dragon,45,207,600000,Ordinary,Mega,,75,110,110,110,105,80,590,0,0,0,0,2,0
335,Zangoose,Zangoose,3,1.3m,40.3kg,Normal,,Immunity,,Toxic Boost,White,50,50,0,20,Ground,,90,160,600000,Ordinary,,,73,115,60,60,60,90,458,0,2,0,0,0,0
336,Seviper,Seviper,3,2.7m,52.5kg,Poison,,Shed Skin,,Infiltrator,Black,50,50,0,20,Ground,Dragon,90,160,1640000,Ordinary,,,73,100,60,100,60,65,458,0,1,0,1,0,0
