ID: 424 ID: 424 | Name: Pansage | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 10.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 316
ID: 860 ID: 860 | Name: Grumpig | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.9m | Weight: 71.5kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 851 ID: 851 | Name: Dracozolt | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 1.8m | Weight: 190.0kg | Type: [Electric, Dragon] | Category: Ordinary | Mega Evolution: false | TOTAL: 505
ID: 490 ID: 490 | Name: Deoxys Defense Form | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.7m | Weight: 60.8kg | Type: [Psychic, ] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 743 ID: 743 | Name: Combee | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.3m | Weight: 5.5kg | Type: [Bug, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 244
ID: 31 ID: 31 | Name: Maractus | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.0m | Weight: 28.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 461
ID: 314 ID: 314 | Name: Litleo | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.6m | Weight: 13.5kg | Type: [Fire, Normal] | Category: Ordinary | Mega Evolution: false | TOTAL: 369
ID: 828 ID: 828 | Name: Wo-Chien | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.5m | Weight: 74.2kg | Type: [Dark, Grass] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 570
ID: 176 ID: 176 | Name: Croagunk | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.7m | Weight: 23.0kg | Type: [Poison, Fighting] | Category: Ordinary | Mega Evolution: false | TOTAL: 300
ID: 11 ID: 11 | Name: Vikavolt | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 1.5m | Weight: 45.0kg | Type: [Bug, Electric] | Category: Ordinary | Mega Evolution: false | TOTAL: 500
ID: 987 ID: 987 | Name: Grimmsnarl | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 1.5m | Weight: 61.0kg | Type: [Dark, Fairy] | Category: Ordinary | Mega Evolution: false | TOTAL: 510
ID: 181 ID: 181 | Name: Tropius | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 2.0m | Weight: 100.0kg | Type: [Grass, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 460
ID: 726 ID: 726 | Name: Mightyena | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.0m | Weight: 37.0kg | Type: [Dark, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 35 ID: 35 | Name: Medicham | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.3m | Weight: 31.5kg | Type: [Fighting, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 410
ID: 616 ID: 616 | Name: Alolan Vulpix | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.6m | Weight: 9.9kg | Type: [Ice, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 299
ID: 599 ID: 599 | Name: Malamar | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.5m | Weight: 47.0kg | Type: [Dark, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 482
ID: 140 ID: 140 | Name: Fletchinder | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.7m | Weight: 16.0kg | Type: [Fire, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 382
ID: 1135 ID: 1135 | Name: Buizel | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.7m | Weight: 29.5kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 330
ID: 419 ID: 419 | Name: Minior Red Core | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.3m | Weight: 0.3kg | Type: [Rock, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 500
ID: 1161 ID: 1161 | Name: Koffing | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.6m | Weight: 1.0kg | Type: [Poison, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 340
ID: 317 ID: 317 | Name: Feebas | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.6m | Weight: 7.4kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 200
ID: 318 ID: 318 | Name: Grapploct | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 1.6m | Weight: 39.0kg | Type: [Fighting, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 480
ID: 532 ID: 532 | Name: Swalot | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.7m | Weight: 80.0kg | Type: [Poison, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 467
ID: 124 ID: 124 | Name: Coalossal | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 2.8m | Weight: 310.5kg | Type: [Rock, Fire] | Category: Ordinary | Mega Evolution: false | TOTAL: 510
ID: 426 ID: 426 | Name: Meditite | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.6m | Weight: 11.2kg | Type: [Fighting, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 280
ID: 876 ID: 876 | Name: Carnivine | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.4m | Weight: 27.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 454
ID: 969 ID: 969 | Name: Scorbunny | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.3m | Weight: 4.5kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 310
ID: 1006 ID: 1006 | Name: Bonsly | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.5m | Weight: 15.0kg | Type: [Rock, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 290
ID: 383 ID: 383 | Name: Dodrio | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.8m | Weight: 85.2kg | Type: [Normal, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 1150 ID: 1150 | Name: Shroodle | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.2m | Weight: 0.7kg | Type: [Poison, Normal] | Category: Ordinary | Mega Evolution: false | TOTAL: 290
ID: 93 ID: 93 | Name: Swirlix | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.4m | Weight: 3.5kg | Type: [Fairy, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 341
ID: 652 ID: 652 | Name: Toedscruel | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.9m | Weight: 58.0kg | Type: [Ground, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 515
ID: 229 ID: 229 | Name: Pichu | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.3m | Weight: 2.0kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 205
ID: 293 ID: 293 | Name: Silicobra | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 2.2m | Weight: 7.6kg | Type: [Ground, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 315
ID: 115 ID: 115 | Name: Granbull | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.4m | Weight: 48.7kg | Type: [Fairy, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 450
ID: 818 ID: 818 | Name: Alolan Diglett | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.2m | Weight: 1.0kg | Type: [Ground, Steel] | Category: Ordinary | Mega Evolution: false | TOTAL: 265
ID: 752 ID: 752 | Name: Yungoos | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.4m | Weight: 6.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 253
ID: 853 ID: 853 | Name: Mega Slowbro | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 2.0m | Weight: 120.0kg | Type: [Water, Psychic] | Category: Ordinary | Mega Evolution: true | TOTAL: 590
ID: 582 ID: 582 | Name: Galarian Meowth | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.4m | Weight: 7.5kg | Type: [Steel, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 290
ID: 82 ID: 82 | Name: Torkoal | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.5m | Weight: 80.4kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 289 ID: 289 | Name: Togekiss | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.5m | Weight: 38.0kg | Type: [Fairy, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 545
ID: 516 ID: 516 | Name: Heat Rotom | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.3m | Weight: 0.3kg | Type: [Electric, Fire] | Category: Ordinary | Mega Evolution: false | TOTAL: 520
ID: 808 ID: 808 | Name: Sunkern | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.3m | Weight: 1.8kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 180
ID: 740 ID: 740 | Name: Darmanitan | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.3m | Weight: 92.9kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 480
ID: 522 ID: 522 | Name: Smoliv | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.3m | Weight: 6.5kg | Type: [Grass, Normal] | Category: Ordinary | Mega Evolution: false | TOTAL: 260
ID: 305 ID: 305 | Name: Porygon2 | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.6m | Weight: 32.5kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 515
ID: 194 ID: 194 | Name: Grafaiai | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.7m | Weight: 27.2kg | Type: [Poison, Normal] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 380 ID: 380 | Name: Simisear | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.0m | Weight: 28.0kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 498
ID: 1028 ID: 1028 | Name: Seaking | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.3m | Weight: 39.0kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 450
ID: 771 ID: 771 | Name: Burmy Plant Form | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.2m | Weight: 3.4kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 224
ID: 102 ID: 102 | Name: Metang | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.2m | Weight: 202.5kg | Type: [Steel, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 718 ID: 718 | Name: Ferrothorn | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.0m | Weight: 110.0kg | Type: [Grass, Steel] | Category: Ordinary | Mega Evolution: false | TOTAL: 489
ID: 302 ID: 302 | Name: Arbok | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 3.5m | Weight: 65.0kg | Type: [Poison, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 448
ID: 935 ID: 935 | Name: Enamorus Incarnate Style | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 1.6m | Weight: 48.0kg | Type: [Fairy, Flying] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 580
ID: 781 ID: 781 | Name: Electrode | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.2m | Weight: 66.6kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 856 ID: 856 | Name: Togepi | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.3m | Weight: 1.5kg | Type: [Fairy, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 245
ID: 49 ID: 49 | Name: Cetitan | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 4.5m | Weight: 700.0kg | Type: [Ice, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 521
ID: 1178 ID: 1178 | Name: Slowking | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 2.0m | Weight: 79.5kg | Type: [Water, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 614 ID: 614 | Name: Meloetta Pirouette Form | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 6.5kg | Type: [Normal, Fighting] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 592 ID: 592 | Name: Swellow | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.7m | Weight: 19.8kg | Type: [Normal, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 455
ID: 523 ID: 523 | Name: Mega Lopunny | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.3m | Weight: 28.3kg | Type: [Normal, Fighting] | Category: Ordinary | Mega Evolution: true | TOTAL: 580
ID: 1019 ID: 1019 | Name: Watchog | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.1m | Weight: 27.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 160 ID: 160 | Name: Amaura | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.3m | Weight: 25.2kg | Type: [Rock, Ice] | Category: Ordinary | Mega Evolution: false | TOTAL: 362
ID: 216 ID: 216 | Name: Beldum | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.6m | Weight: 95.2kg | Type: [Steel, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 300
ID: 15 ID: 15 | Name: Beedrill | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.0m | Weight: 29.5kg | Type: [Bug, Poison] | Category: Ordinary | Mega Evolution: false | TOTAL: 395
ID: 425 ID: 425 | Name: Machamp | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.6m | Weight: 130.0kg | Type: [Fighting, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 505
ID: 664 ID: 664 | Name: Igglybuff | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.3m | Weight: 1.0kg | Type: [Normal, Fairy] | Category: Ordinary | Mega Evolution: false | TOTAL: 210
ID: 977 ID: 977 | Name: Baxcalibur | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 2.1m | Weight: 210.0kg | Type: [Dragon, Ice] | Category: Ordinary | Mega Evolution: false | TOTAL: 600
ID: 41 ID: 41 | Name: Trubbish | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 31.0kg | Type: [Poison, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 329
ID: 352 ID: 352 | Name: Roggenrola | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.4m | Weight: 18.0kg | Type: [Rock, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 280
ID: 245 ID: 245 | Name: Mareep | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.6m | Weight: 7.8kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 280
ID: 1184 ID: 1184 | Name: Alolan Geodude | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.4m | Weight: 20.3kg | Type: [Rock, Electric] | Category: Ordinary | Mega Evolution: false | TOTAL: 300
ID: 775 ID: 775 | Name: Mr. Rime | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 1.5m | Weight: 58.2kg | Type: [Ice, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 520
ID: 958 ID: 958 | Name: Skwovet | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.3m | Weight: 2.5kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 275
ID: 348 ID: 348 | Name: Spidops | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.0m | Weight: 16.5kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 404
ID: 1147 ID: 1147 | Name: Zubat | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.8m | Weight: 7.5kg | Type: [Poison, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 245
ID: 45 ID: 45 | Name: Slowpoke | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.2m | Weight: 36.0kg | Type: [Water, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 315
ID: 1136 ID: 1136 | Name: Hippopotas | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.8m | Weight: 49.5kg | Type: [Ground, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 330
ID: 228 ID: 228 | Name: Victini | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.4m | Weight: 4.0kg | Type: [Psychic, Fire] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 273 ID: 273 | Name: Heatmor | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.4m | Weight: 58.0kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 484
ID: 1067 ID: 1067 | Name: Spinda | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.1m | Weight: 5.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 360
ID: 170 ID: 170 | Name: Latios | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 2.0m | Weight: 60.0kg | Type: [Dragon, Psychic] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 600
ID: 38 ID: 38 | Name: Herdier | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.9m | Weight: 14.7kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 370
ID: 1038 ID: 1038 | Name: Pawmo | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.4m | Weight: 6.5kg | Type: [Electric, Fighting] | Category: Ordinary | Mega Evolution: false | TOTAL: 350
ID: 251 ID: 251 | Name: Dolliv | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.6m | Weight: 11.9kg | Type: [Grass, Normal] | Category: Ordinary | Mega Evolution: false | TOTAL: 354
ID: 149 ID: 149 | Name: Lycanroc Midnight Form | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 1.1m | Weight: 25.0kg | Type: [Rock, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 487
ID: 375 ID: 375 | Name: Galarian Ponyta | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.8m | Weight: 24.0kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 410
ID: 75 ID: 75 | Name: Hisuian Typhlosion | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.6m | Weight: 69.8kg | Type: [Fire, Ghost] | Category: Ordinary | Mega Evolution: false | TOTAL: 534
ID: 186 ID: 186 | Name: Hisuian Basculin | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.0m | Weight: 18.0kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 460
ID: 547 ID: 547 | Name: Alcremie | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.3m | Weight: 0.5kg | Type: [Fairy, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 495
ID: 119 ID: 119 | Name: Nidoqueen | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.3m | Weight: 60.0kg | Type: [Poison, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 505
ID: 813 ID: 813 | Name: Electabuzz | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.1m | Weight: 30.0kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 212 ID: 212 | Name: Elgyem | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.5m | Weight: 9.0kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 335
ID: 941 ID: 941 | Name: Skiploom | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.6m | Weight: 1.0kg | Type: [Grass, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 340
ID: 475 ID: 475 | Name: Confined Hoopa | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.5m | Weight: 9.0kg | Type: [Psychic, Ghost] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 272 ID: 272 | Name: Lycanroc Midday Form | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.8m | Weight: 25.0kg | Type: [Rock, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 487
ID: 315 ID: 315 | Name: Eevee | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.3m | Weight: 6.5kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 325
ID: 904 ID: 904 | Name: Clodsire | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.8m | Weight: 223.0kg | Type: [Poison, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 430
ID: 195 ID: 195 | Name: Heracross | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.5m | Weight: 54.0kg | Type: [Bug, Fighting] | Category: Ordinary | Mega Evolution: false | TOTAL: 500
ID: 945 ID: 945 | Name: Diancie | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.7m | Weight: 8.8kg | Type: [Rock, Fairy] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 1193 ID: 1193 | Name: Rillaboom | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 2.1m | Weight: 90.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 796 ID: 796 | Name: Sandy Shocks | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 2.3m | Weight: 60.0kg | Type: [Electric, Ground] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 570
ID: 469 ID: 469 | Name: Manaphy | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.3m | Weight: 1.4kg | Type: [Water, ] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 892 ID: 892 | Name: Rellor | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.2m | Weight: 1.0kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 270
ID: 785 ID: 785 | Name: Tangela | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.0m | Weight: 35.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 435
ID: 1179 ID: 1179 | Name: Hisuian Electrode | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.2m | Weight: 71.0kg | Type: [Electric, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 1166 ID: 1166 | Name: Monferno | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.9m | Weight: 22.0kg | Type: [Fire, Fighting] | Category: Ordinary | Mega Evolution: false | TOTAL: 405
ID: 990 ID: 990 | Name: Vileplume | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.2m | Weight: 18.6kg | Type: [Grass, Poison] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 906 ID: 906 | Name: Castform Sunny Form | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.3m | Weight: 0.8kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 712 ID: 712 | Name: Palkia Origin Form | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 6.3m | Weight: 660.0kg | Type: [Water, Dragon] | Category: Legendary | Mega Evolution: false | TOTAL: 680
ID: 658 ID: 658 | Name: Golisopod | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 2.0m | Weight: 108.0kg | Type: [Bug, Water] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 452 ID: 452 | Name: Staraptor | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.2m | Weight: 24.9kg | Type: [Normal, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 177 ID: 177 | Name: Seadra | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.2m | Weight: 25.0kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 440
ID: 595 ID: 595 | Name: Skitty | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.6m | Weight: 11.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 260
ID: 197 ID: 197 | Name: Timburr | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 12.5kg | Type: [Fighting, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 305
ID: 720 ID: 720 | Name: Sawsbuck | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.9m | Weight: 92.5kg | Type: [Normal, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 475
ID: 368 ID: 368 | Name: Zebstrika | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.6m | Weight: 79.5kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 497
ID: 1107 ID: 1107 | Name: Sableye | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.5m | Weight: 11.0kg | Type: [Dark, Ghost] | Category: Ordinary | Mega Evolution: false | TOTAL: 380
ID: 349 ID: 349 | Name: Tadbulb | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.3m | Weight: 0.4kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 272
ID: 508 ID: 508 | Name: Dragonair | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 4.0m | Weight: 16.5kg | Type: [Dragon, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 899 ID: 899 | Name: Skeledirge | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.6m | Weight: 326.5kg | Type: [Fire, Ghost] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 824 ID: 824 | Name: Wimpod | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.5m | Weight: 12.0kg | Type: [Bug, Water] | Category: Ordinary | Mega Evolution: false | TOTAL: 230
ID: 226 ID: 226 | Name: Grookey | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.3m | Weight: 5.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 310
ID: 1101 ID: 1101 | Name: Deoxys | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.7m | Weight: 60.8kg | Type: [Psychic, ] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 859 ID: 859 | Name: Braixen | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.0m | Weight: 14.5kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 409
ID: 605 ID: 605 | Name: Rhydon | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.9m | Weight: 120.0kg | Type: [Ground, Rock] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 325 ID: 325 | Name: Alomomola | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.2m | Weight: 31.6kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 854 ID: 854 | Name: Wishiwashi Solo Form | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.2m | Weight: 0.3kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 175
